	baseMean	log2FoldChange	lfcSE	pvalue	padj
FGBKPADF_00001	52605.0567820962	-2.00709539625029	0.0462938852606645	0	0
FGBKPADF_00002	44167.2608204198	-2.03342004272057	0.0487512119918604	0	0
FGBKPADF_00003	2980.68037100898	-2.31336669411591	0.0872942281246641	9.1396759948798e-156	2.35198285504602e-154
FGBKPADF_00004	21707.5237219873	-2.23976158245632	0.0516161063779997	0	0
FGBKPADF_00005	5377.55947189653	-2.81767285847159	0.0623481235583307	0	0
FGBKPADF_00006	21579.1602970582	-2.56551847659404	0.0511110815730025	0	0
FGBKPADF_00007	20787.8712152457	-1.95912472514618	0.0634475494480156	2.02190383455925e-210	8.61591924339603e-209
FGBKPADF_00008	4283.01148300481	-0.920262064274217	0.0650641495450802	9.43022703196831e-46	5.52840084729148e-45
FGBKPADF_00009	12620.644095348	-1.14708920561862	0.0726497942633645	1.04903232483506e-56	7.46376140632195e-56
FGBKPADF_00010	17980.6045342341	-1.12442485795808	0.0532070549709287	1.18712475674485e-99	1.63353312881245e-98
FGBKPADF_00011	10144.2920849877	-1.86094284850663	0.0763617114914233	3.05661017823244e-132	6.37544533491324e-131
FGBKPADF_00012	15698.0504330402	-2.05282388555792	0.13052127493301	8.32388168518026e-57	5.93301135222471e-56
FGBKPADF_00013	4105.75946092359	-2.14268005261187	0.131696995216257	1.4197987356269e-60	1.07379053230714e-59
FGBKPADF_00014	14757.5458795108	-1.29291696571078	0.104740548916282	1.05849935410248e-35	5.03581385391132e-35
FGBKPADF_00015	230.038531374243	2.71616847597967	0.202461582000997	4.92627497329853e-42	2.66705296710138e-41
FGBKPADF_00016	3776.79569518889	0.362808324103089	0.0816946844377424	8.04214200050432e-06	1.42408439445928e-05
FGBKPADF_00017	5065.15535976975	0.313867589523382	0.0623046229838293	4.35623650233907e-07	8.28793339355244e-07
FGBKPADF_00018	112.518475994937	-1.6912638975463	0.239959563336399	1.8189742983015e-13	4.53941759708366e-13
FGBKPADF_00019	292.678530909378	-3.43212298398803	0.198396070112994	3.94335206628122e-68	3.41211882940447e-67
FGBKPADF_00020	862.407028301334	-0.856851409741767	0.0894034599510305	4.82869298383004e-22	1.59334806785333e-21
FGBKPADF_00021	2662.45815279695	-1.16957336541586	0.0754855819863943	1.02783429197452e-54	7.05945805735704e-54
FGBKPADF_00022	9903.49482605844	-0.823518523461634	0.066164552181101	8.02195379808172e-36	3.83024131346962e-35
FGBKPADF_00023	11303.6570539827	-0.157468602931989	0.0568653932795827	0.00550453039476078	0.00795857495601495
FGBKPADF_00024	21097.286058777	-0.0804692519586134	0.0574403895698764	0.160199683816058	0.193913056494514
FGBKPADF_00025	6226.9972583577	-0.211093036084102	0.0725201477482554	0.00347270593807333	0.00511801176369825
FGBKPADF_00026	3450.76154968265	-4.50480261011691	0.0932955359827075	0	0
FGBKPADF_00027	1298.14242404278	-3.75122452068344	0.125097346592136	9.8059139862681e-199	3.70103210738862e-197
FGBKPADF_00028	1136.43818664084	-3.26741922225201	0.115116433500389	3.02992567967574e-178	9.30821354151546e-177
FGBKPADF_00029	1485.82266045424	-2.94380861511846	0.0902603129204828	2.68779611877925e-234	1.50024450967918e-232
FGBKPADF_00030	426.949165564484	-1.36589275364573	0.125447761211044	2.24606997396195e-28	8.92795918436432e-28
FGBKPADF_00031	2397.59033480278	-0.207511092885611	0.0899630597477334	0.0202955163745754	0.0275637873174922
FGBKPADF_00032	2499.37437477595	0.761560825417253	0.0673628993001772	7.46334238889403e-30	3.11011838981988e-29
FGBKPADF_00033	54.9095002465477	0.90223086682022	0.300249422420366	0.00120792277565788	0.00184826176059157
FGBKPADF_00034	19.2721418584888	1.07239048140905	0.473168876579033	0.00760755041687702	0.0108604907428255
FGBKPADF_00035	43.4532177877969	-0.117723477007344	0.337216627623016	0.70381763679863	0.734200919882329
FGBKPADF_00036	1055.00455100878	0.960594925772241	0.128041370770256	2.66582197269486e-14	6.85571218545732e-14
FGBKPADF_00037	425.483844699243	0.589728887595979	0.133544930955676	7.45203075209994e-06	1.3213600836945e-05
FGBKPADF_00038	329.816205941656	0.623856090920025	0.131740484457888	1.56083084510866e-06	2.87834929695934e-06
FGBKPADF_00039	347.046749465012	-0.24699771998178	0.182300405320833	0.164647195058403	0.198629173216576
FGBKPADF_00040	64.6094972682009	0.412456719129493	0.274377203907618	0.111118713254583	0.137356038873335
FGBKPADF_00041	100.515879401132	0.310465147648241	0.255663757586119	0.201771581190479	0.238337042103686
FGBKPADF_00042	673.74992047559	1.1879458733111	0.137048381111318	1.13714217056176e-18	3.3960018251215e-18
FGBKPADF_00043	1191.237284773	1.09698775091644	0.0924904672284288	6.05656125143351e-33	2.67582522178718e-32
FGBKPADF_00044	81.6554980413255	0.0210812001115611	0.269207233634688	0.934099718824355	0.942662894245205
FGBKPADF_00045	80.4496388581598	-0.0996307817139826	0.272451661478497	0.698996587665529	0.729748018155556
FGBKPADF_00046	332.217800496872	-0.180420686159066	0.164868375444079	0.263959825916586	0.304179351586923
FGBKPADF_00047	1824.06142711894	1.64818762756537	0.341281766093663	1.51843874091118e-07	2.95994723572602e-07
FGBKPADF_00048	694.665394765384	0.0393796533436986	0.107408989169066	0.711511709051251	0.741026878581952
FGBKPADF_00049	106.339346196891	0.40029485824507	0.243667553271001	0.0854367887079863	0.107079694386385
FGBKPADF_00050	204.778060598865	-0.0520914023858738	0.186826295801337	0.774695085021689	0.79950953696379
FGBKPADF_00051	5180.77839584634	-2.03399584187565	0.115623953466429	2.44763963328681e-70	2.21967868803561e-69
FGBKPADF_00052	2680.46590813922	-1.6841806100283	0.173359182007058	2.57606640740744e-23	8.83127264061911e-23
FGBKPADF_00053	2806.13741080738	-1.57157574925587	0.251748523960743	5.1484294063934e-11	1.16893843256168e-10
FGBKPADF_00054	4276.73862381683	-2.13188399101234	0.137445766857287	2.55997463347914e-55	1.77053742975181e-54
FGBKPADF_00055	9179.36048098296	-0.828801722797826	0.110104956513002	2.79977278087049e-14	7.19086165300697e-14
FGBKPADF_00056	91.7956495056944	-2.21969330813306	0.311435613881373	8.18867242887695e-14	2.06830521578326e-13
FGBKPADF_00057	41.9031925376617	-1.72239409496611	0.401879823639596	1.8748147892835e-06	3.43182032791248e-06
FGBKPADF_00058	25.8131028023438	-3.12479886111957	0.523921345842298	1.6156578823962e-10	3.59912995387079e-10
FGBKPADF_00059	212.939541215557	-4.38857210256393	0.234225210604469	7.25686374039064e-80	7.5088644916888e-79
FGBKPADF_00060	10795.6415985976	-0.303186934210278	0.0617282818407063	8.39167046937586e-07	1.5709111984004e-06
FGBKPADF_00061	1262.97046732402	-2.85765159526975	0.0886330930037017	4.97906296023357e-229	2.59631927781653e-227
FGBKPADF_00062	51.5622981248568	-0.27580005826634	0.53927499105495	0.528075586650578	0.568840323429258
FGBKPADF_00063	142.824930661316	-4.2359046670996	0.245477503737646	3.6606953290545e-68	3.18143324321118e-67
FGBKPADF_00064	3150.34037308754	-1.69983603952824	0.0653790304943276	4.75171414803041e-150	1.12089542670503e-148
FGBKPADF_00065	12886.6419688417	-1.63435466338384	0.0465336341482416	3.18874143843494e-271	2.43018890779186e-269
FGBKPADF_00066	6217.33858644566	-1.34680505889765	0.0897365036798844	1.14779963490307e-51	7.3723337976027e-51
FGBKPADF_00067	2069.82482596785	-0.990357276040045	0.10729021100652	1.07989398356088e-20	3.43468688350865e-20
FGBKPADF_00068	4596.46869680456	-0.330655316742244	0.0705918384651345	2.57527554169205e-06	4.67942089487648e-06
FGBKPADF_00069	455.795936303498	-0.51605743708397	0.111905469194597	3.19444470461109e-06	5.78327289372945e-06
FGBKPADF_00070	24.5666754763154	-1.62560021163158	0.508049996621983	0.000169980685850206	0.000274392447260435
FGBKPADF_00071	10.2541781627435	-1.6170988863035	0.773652943261385	0.00490192711709997	0.00713154815163993
FGBKPADF_00072	2253.52921721079	-0.568849062611759	0.0685878026713937	8.40159392819128e-17	2.36641910003e-16
FGBKPADF_00073	72.9946579806692	0.0627320403096525	0.265775216138215	0.803437905634947	0.825732474074506
FGBKPADF_00074	11465.084221979	-0.539028977913049	0.051803067830279	1.85007487766761e-25	6.76994158836264e-25
FGBKPADF_00079	5700.95126888521	-1.97806185970868	0.100073587706558	4.96305890020978e-88	5.92427783781065e-87
FGBKPADF_00080	13100.1941863381	-2.10848034131633	0.0855743900555363	4.2391235418934e-135	9.08089005217489e-134
FGBKPADF_00081	12215.2971582811	-2.06883772215552	0.11169353672768	1.1747949666365e-77	1.16684522626076e-76
FGBKPADF_00082	10321.5773392571	-1.88069773001436	0.122357066955027	2.20540377859513e-54	1.50071438760213e-53
FGBKPADF_00083	5979.09401628071	-2.05168520534953	0.140628669419591	2.79428376019482e-49	1.72220008423827e-48
FGBKPADF_00084	5139.2788452934	-2.28791519249297	0.138542539532517	2.6946055489096e-62	2.09386701771152e-61
FGBKPADF_00085	1376.35225194214	0.170190064342767	0.087234533165187	0.0497376962738511	0.0642505819190674
FGBKPADF_00086	44516.4548790035	-0.248959331814311	0.108669586494367	0.0207946640339315	0.0282126852333004
FGBKPADF_00087	58311.0469619774	-0.270191732661884	0.11329931729659	0.0160283352207477	0.0220403513115277
FGBKPADF_00088	45987.4137482715	-0.306294014342378	0.110614713077249	0.00518746713238406	0.00752211205475231
FGBKPADF_00089	253.605745505308	-0.377679602598933	0.174578527896615	0.0267557688095513	0.0358341033431065
FGBKPADF_00090	2094.04033816593	0.167373006071742	0.0995068478710165	0.0901380749014524	0.112686810988787
FGBKPADF_00091	203.849395598326	-0.428334457655115	0.202374006525133	0.0288726238297236	0.0384612464662839
FGBKPADF_00092	25.0595804899491	1.78314276320977	0.597698440488501	0.00029179753907723	0.000465912025529035
FGBKPADF_00093	82.7670035856772	0.387098851352068	0.254812409076737	0.11023454249054	0.136390724911024
FGBKPADF_00094	29.6109477715514	0.496527504347566	0.403312661329703	0.163797233998905	0.197784411437434
FGBKPADF_00095	52.5968501756712	0.230400136979712	0.293603702639067	0.402254993342843	0.446787146473567
FGBKPADF_00096	1130.81301837212	0.783255415623404	0.141668056786266	1.8614401422608e-08	3.77914307570674e-08
FGBKPADF_00097	81.4370311614312	0.696348628356956	0.235263996008921	0.00195582948584031	0.00294489067339862
FGBKPADF_00098	245.645823374413	0.631101226632701	0.142817600383551	7.00902782722772e-06	1.24559539369074e-05
FGBKPADF_00099	718.146535937686	0.665358593801724	0.106091491790224	2.44430206331397e-10	5.40556310095605e-10
FGBKPADF_00100	3836.26691677643	0.416828674665093	0.096367935693254	1.31897525639426e-05	2.29863629775306e-05
FGBKPADF_00101	994.022388492405	0.352416708133979	0.104156923922885	0.000644823395218769	0.00100806118944851
FGBKPADF_00102	4014.82899687065	0.567054367306815	0.0938578692137412	1.16584448883704e-09	2.51100092894631e-09
FGBKPADF_00103	3493.28707130761	-0.299566594387594	0.0964923757671251	0.00176707103800436	0.00266980652825439
FGBKPADF_00104	530.784431277978	-0.901051949445613	0.165616128352909	2.50605117198849e-08	5.06708203805633e-08
FGBKPADF_00105	440.421150306103	1.13209465687859	0.157548978345988	1.96672016172311e-13	4.89579899554566e-13
FGBKPADF_00106	435.386410537975	-0.107529953054869	0.173382280144889	0.525820531164312	0.566719272505893
FGBKPADF_00107	1170.1162333663	-0.393666416733135	0.132599026522981	0.00261464392126465	0.00390276228247526
FGBKPADF_00108	1441.58034382506	-0.19221665975114	0.111198845958195	0.0810090038871564	0.101884697684799
FGBKPADF_00109	136.014353688006	0.550187768391855	0.186279911846794	0.00239231253024862	0.0035803378237822
FGBKPADF_00110	692.230613578311	0.893036140690361	0.11784199161582	1.6933062697667e-14	4.37455850527082e-14
FGBKPADF_00111	130.657727492199	1.63893848300947	0.218200165142416	6.24073817188009e-15	1.63571728671698e-14
FGBKPADF_00112	912.741493555597	1.2522096955364	0.108196409926275	1.24714988753789e-31	5.35477248571253e-31
