	baseMean	log2FoldChange	lfcSE	pvalue	padj
FGBKPADF_00001	52605.0567820962	-0.968934137508151	0.0462409415739825	3.10707777592513e-99	1.09764583974955e-96
FGBKPADF_00002	44167.2608204198	-0.975007536106281	0.0486637967319641	4.7410310489315e-91	1.31597476115341e-88
FGBKPADF_00003	2980.68037100898	-0.975899731262026	0.0856714367435784	8.03758985501972e-32	3.44838076543571e-30
FGBKPADF_00004	21707.5237219873	-0.86241489668946	0.0512709765713662	5.26553004858832e-65	7.30780348886221e-63
FGBKPADF_00005	5377.55947189653	-0.885184744407121	0.0600731260648329	1.03239061715356e-50	1.00296748456468e-48
FGBKPADF_00006	21579.1602970582	-0.765979751877094	0.0505370033641282	3.90515658755538e-53	4.10146986465951e-51
FGBKPADF_00007	20787.8712152457	-0.449233469403824	0.0625702350105204	2.8299354683405e-13	2.99649297819378e-12
FGBKPADF_00008	4283.01148300481	-0.507970567856409	0.0637047379970175	4.69060441631863e-16	6.62825045884152e-15
FGBKPADF_00009	12620.644095348	-0.53510396240268	0.0717807061447543	2.35525352838097e-14	2.84239602835045e-13
FGBKPADF_00010	17980.6045342341	-0.574491290825933	0.0527699278092417	2.81374583696046e-28	9.92772601900602e-27
FGBKPADF_00011	10144.2920849877	-0.524540960356774	0.0752549963190946	8.742228252632e-13	8.68814084219811e-12
FGBKPADF_00012	15698.0504330402	-0.694719735531294	0.12899632144529	6.57549683454537e-09	4.33826497437068e-08
FGBKPADF_00013	4105.75946092359	-0.770222527545487	0.130743412596647	2.1145735237786e-10	1.66340743186309e-09
FGBKPADF_00014	14757.5458795108	-0.625733221176598	0.1035392725731	2.20972720933929e-10	1.73124998699446e-09
FGBKPADF_00015	230.038531374243	0.648699136940648	0.179981330185925	3.60665175961672e-05	0.000132471160093295
FGBKPADF_00016	3776.79569518889	-0.000340564103313428	0.077925863777005	0.996328219417726	0.997611816711487
FGBKPADF_00017	5065.15535976975	-0.0536239656991507	0.0611825374403752	0.353904061430129	0.470822041327449
FGBKPADF_00018	112.518475994937	-0.340103268446176	0.197956612040929	0.041621028056368	0.0794397421547378
FGBKPADF_00019	292.678530909378	-0.422401384842044	0.163310391433268	0.00372543296629821	0.00932798486278019
FGBKPADF_00020	862.407028301334	-0.321289031811198	0.0880680338587334	0.000164987979583909	0.000537421029893606
FGBKPADF_00021	2662.45815279695	-0.287875599419346	0.0739008205030361	6.79979818577544e-05	0.000236599826319985
FGBKPADF_00022	9903.49482605844	-0.139542320725085	0.0657900813270573	0.0280817321814749	0.0561345736919812
FGBKPADF_00023	11303.6570539827	-0.161219307349756	0.0565577471158084	0.00369461548936556	0.00926275857527391
FGBKPADF_00024	21097.286058777	-0.11240963660561	0.0577397302496625	0.0431039948507906	0.0815492327118658
FGBKPADF_00025	6226.9972583577	-0.208222132069599	0.0716187022817566	0.0028943366165543	0.00743875138355159
FGBKPADF_00026	3450.76154968265	-0.704389694415036	0.0842315822810323	5.36670945733236e-18	8.91240724409981e-17
FGBKPADF_00027	1298.14242404278	-0.853966144276165	0.118735723736663	2.07200915797511e-14	2.53202125405386e-13
FGBKPADF_00028	1136.43818664084	-0.793413853159931	0.108437673412605	1.20638359287656e-14	1.49776570029339e-13
FGBKPADF_00029	1485.82266045424	-0.861320999022328	0.0857136629754278	2.87930718026406e-25	8.5412119866459e-24
FGBKPADF_00030	426.949165564484	-0.268483864648764	0.117432197273825	0.014851857318203	0.0319393013494946
FGBKPADF_00031	2397.59033480278	-0.166597502449115	0.0888035183062765	0.0488434352271236	0.0906859002831353
FGBKPADF_00032	2499.37437477595	0.352972111062965	0.0656219548894811	4.36346067772544e-08	2.50834440734335e-07
FGBKPADF_00033	54.9095002465477	0.550646073813809	0.27470170608406	0.00713572701982584	0.016554886685996
FGBKPADF_00034	19.2721418584888	-0.180514348916722	0.326310840383201	0.363581749032501	0.481225707336614
FGBKPADF_00035	43.4532177877969	-0.126638202712932	0.273257031053372	0.51430038655036	0.630265311300757
FGBKPADF_00036	1055.00455100878	0.310027801214028	0.122347729249272	0.00679432753327967	0.0159193605953428
FGBKPADF_00037	425.483844699243	0.165664872720495	0.126918229820944	0.156047072187951	0.242656631661616
FGBKPADF_00038	329.816205941656	0.234327974696229	0.126431297400341	0.0453409701116105	0.0850772621215444
FGBKPADF_00039	347.046749465012	-0.108584807920366	0.167901548651128	0.461133982661573	0.579736867234835
FGBKPADF_00040	64.6094972682009	0.442415850450945	0.252545358095823	0.0226415551506636	0.0465037438242487
FGBKPADF_00041	100.515879401132	0.347062258430961	0.230543370943232	0.0586217722417324	0.106202427473833
FGBKPADF_00042	673.74992047559	0.53209120643119	0.13324344739091	1.59895691076836e-05	6.23224328510115e-05
FGBKPADF_00043	1191.237284773	0.678816752327532	0.0925158556224304	2.26289909995972e-14	2.73944732163347e-13
FGBKPADF_00044	81.6554980413255	0.261455441054123	0.240746192030198	0.161602587526691	0.249597637173577
FGBKPADF_00045	80.4496388581598	0.192625054080603	0.23384140451091	0.293488478403796	0.405437691815553
FGBKPADF_00046	332.217800496872	0.0781131564794576	0.153551996238325	0.569344197395845	0.679923648150048
FGBKPADF_00047	1824.06142711894	0.513596309836066	0.290268807539983	0.0139463553742687	0.030243045192192
FGBKPADF_00048	694.665394765384	-0.0187113625207181	0.103755091088628	0.847460243270024	0.902502193846893
FGBKPADF_00049	106.339346196891	0.209622162150101	0.213313034859681	0.229007393198361	0.331813098422383
FGBKPADF_00050	204.778060598865	0.0431120787340674	0.169045444111893	0.771088682560016	0.848372202839248
FGBKPADF_00051	5180.77839584634	-0.908923756941335	0.115679141645211	9.34893659933147e-17	1.40270145270278e-15
FGBKPADF_00052	2680.46590813922	-0.86697244345386	0.172603328928123	1.52860450132424e-08	9.51948251946471e-08
FGBKPADF_00053	2806.13741080738	-0.694541370167563	0.239481293269328	0.000294807488667606	0.000915033467222299
FGBKPADF_00054	4276.73862381683	-0.749442853348204	0.135995413037477	2.25333499664639e-09	1.58058841100503e-08
FGBKPADF_00055	9179.36048098296	-0.518003128580147	0.108301411984098	4.74997471818071e-07	2.33946790302284e-06
FGBKPADF_00056	91.7956495056944	-0.30244459981221	0.25207580833493	0.114353567949862	0.18797714257748
FGBKPADF_00057	41.9031925376617	-0.163622062315442	0.283551253724943	0.405265481442851	0.525128929938953
FGBKPADF_00058	25.8131028023438	-0.340358690768392	0.326778079857345	0.102632265416032	0.171760974766021
FGBKPADF_00059	212.939541215557	-0.788526676850842	0.182880323552814	7.77469969382642e-07	3.72993617409993e-06
FGBKPADF_00060	10795.6415985976	-0.347105212213871	0.0611272656741368	8.09106005573824e-09	5.2403098960998e-08
FGBKPADF_00061	1262.97046732402	-1.3330916846841	0.0890806610136428	8.61856463889026e-53	8.8136163649283e-51
FGBKPADF_00062	51.5622981248568	-0.0395756011467347	0.350959023771981	0.832009103676917	0.893145684223342
FGBKPADF_00063	142.824930661316	-1.71734734377883	0.219996065481527	1.36289618164058e-17	2.17658958034807e-16
FGBKPADF_00064	3150.34037308754	-0.583215225780449	0.0639829259931074	1.5585736274379e-20	3.23883268247255e-19
FGBKPADF_00065	12886.6419688417	-0.693453303834146	0.0460960888132602	3.63013801644112e-52	3.61710675176672e-50
FGBKPADF_00066	6217.33858644566	-0.748502503757202	0.0891711391529218	3.02357730156572e-18	5.08903325460572e-17
FGBKPADF_00067	2069.82482596785	-0.32499556736063	0.103816932923127	0.00104944319377137	0.00292339516200397
FGBKPADF_00068	4596.46869680456	-0.185617370755184	0.0699385849628073	0.00643974133186352	0.0151665665549222
FGBKPADF_00069	455.795936303498	-0.198332933199696	0.109181406074654	0.0531000665919033	0.0975174190813498
FGBKPADF_00070	24.5666754763154	-0.50966778760556	0.374349821770714	0.0231501240432159	0.0474730248189641
FGBKPADF_00071	10.2541781627435	-0.0315112325176662	0.371215250836869	0.859112545504905	NA
FGBKPADF_00072	2253.52921721079	0.035683999380681	0.0650671191395439	0.563066557314656	0.674915682209979
FGBKPADF_00073	72.9946579806692	-0.17319633097481	0.216308782004426	0.323791343877119	0.43872146523936
FGBKPADF_00074	11465.084221979	-0.28113380066728	0.0515459978442003	3.53664237996749e-08	2.06667553211333e-07
FGBKPADF_00079	5700.95126888521	-0.65564938481591	0.0985561136865956	3.48269145011308e-12	3.27693437654708e-11
FGBKPADF_00080	13100.1941863381	-0.869536452168801	0.0852942174547526	6.189671654729e-26	1.87914562892788e-24
FGBKPADF_00081	12215.2971582811	-0.981856283738639	0.111949240398993	2.99014747299096e-20	6.08361941363501e-19
FGBKPADF_00082	10321.5773392571	-1.0314397578921	0.122786852652929	6.12574226928443e-19	1.09698776306172e-17
FGBKPADF_00083	5979.09401628071	-1.05878623118167	0.141309553327701	8.28714356481127e-16	1.1379448725391e-14
FGBKPADF_00084	5139.2788452934	-1.1593462886926	0.139162530986845	7.30628445983945e-19	1.29055551867891e-17
FGBKPADF_00085	1376.35225194214	0.0237245603164568	0.0836466069880744	0.764547139114151	0.845393108994075
FGBKPADF_00086	44516.4548790035	-0.375170698393404	0.106228114411069	0.000212468889994793	0.000675658024975259
FGBKPADF_00087	58311.0469619774	-0.411465079942752	0.110812286191755	9.15992484828187e-05	0.000311967291502396
FGBKPADF_00088	45987.4137482715	-0.434592630437612	0.108440632001735	2.50865422451342e-05	9.4555095212989e-05
FGBKPADF_00089	253.605745505308	-0.302932564597284	0.166628135040292	0.0396799480383896	0.0762970203251765
FGBKPADF_00090	2094.04033816593	0.0386632196586141	0.095046243891755	0.665661215361449	0.764828161835918
FGBKPADF_00091	203.849395598326	0.0700910027697187	0.180588634744709	0.652451468394457	0.754539553019929
FGBKPADF_00092	25.0595804899491	0.252494045663754	0.350333688618259	0.210287353332458	0.309185264869441
FGBKPADF_00093	82.7670035856772	0.364352028012514	0.231812257440482	0.048040825741021	0.0893665145187206
FGBKPADF_00094	29.6109477715514	0.17197810972276	0.297084067662623	0.385834470701907	0.504323159484564
FGBKPADF_00095	52.5968501756712	-0.105009694167149	0.236338121491897	0.567588743969403	0.67928853066372
FGBKPADF_00096	1130.81301837212	0.0236956048394231	0.128759061855512	0.841269727880395	0.898124769929454
FGBKPADF_00097	81.4370311614312	0.442590890437075	0.217074008235336	0.0128998406325989	0.0282097809219354
FGBKPADF_00098	245.645823374413	0.211151579464489	0.138219952249557	0.0939155750146655	0.159718128887085
FGBKPADF_00099	718.146535937686	0.256480294662452	0.104217753224317	0.00966115881961863	0.0217264254473599
FGBKPADF_00100	3836.26691677643	0.30039002022229	0.0947957763533316	0.000995542993411731	0.00278723348155475
FGBKPADF_00101	994.022388492405	0.140098917642492	0.10249264620265	0.144920212632524	0.228833785570902
FGBKPADF_00102	4014.82899687065	0.210469345566127	0.0921350057430724	0.0170125213131214	0.036007983563611
FGBKPADF_00103	3493.28707130761	-0.037818168094341	0.0926481377654689	0.66495642488747	0.764503155950505
FGBKPADF_00104	530.784431277978	-0.576413548156281	0.160955092706639	6.24602804258486e-05	0.000220454722738281
FGBKPADF_00105	440.421150306103	-0.341920941195471	0.144914939102009	0.0096894884863734	0.0217775316703569
FGBKPADF_00106	435.386410537975	-0.373136855235528	0.166087597892471	0.0113244056533644	0.0251322903306533
FGBKPADF_00107	1170.1162333663	-0.314969236080303	0.128553145474363	0.00840230732972169	0.0191503614564801
FGBKPADF_00108	1441.58034382506	-0.283916137684099	0.108189306390099	0.00570166376642701	0.0136013906668725
FGBKPADF_00109	136.014353688006	-0.161741404726569	0.17016050910494	0.277328773724151	0.387522335380097
FGBKPADF_00110	692.230613578311	0.187677312005737	0.114192510108915	0.0782590881388376	0.13658493071413
