	baseMean	log2FoldChange	lfcSE	pvalue	padj
FGBKPADF_00001	52605.0567820962	-0.714520104552838	0.0464239894001381	1.35776660981449e-54	3.73668685742696e-53
FGBKPADF_00002	44167.2608204198	-0.830595358722407	0.0489381689864385	5.64652821307603e-66	2.19384228513924e-64
FGBKPADF_00003	2980.68037100898	-1.18548113793325	0.0876429180327263	7.08840005466799e-43	1.42595580795174e-41
FGBKPADF_00004	21707.5237219873	-1.14856951551082	0.051687003512904	1.41832461458015e-110	1.10212165638846e-108
FGBKPADF_00005	5377.55947189653	-1.70140294172161	0.0624918777252743	1.09381313138145e-164	2.16739071983234e-162
FGBKPADF_00006	21579.1602970582	-1.54230822376399	0.0511511177411042	4.49873660091574e-201	1.27346379638779e-198
FGBKPADF_00007	20787.8712152457	-1.159143256812	0.0634944082094859	1.23468391966178e-75	5.49781165575241e-74
FGBKPADF_00008	4283.01148300481	-0.562563996639459	0.0644467289904487	5.26565417358856e-19	5.26964330553825e-18
FGBKPADF_00009	12620.644095348	-0.625308360318738	0.0726729551470012	1.03138557937181e-18	1.01172798293329e-17
FGBKPADF_00010	17980.6045342341	-0.581798078738864	0.0530792847562983	1.06458549924703e-28	1.52860591794057e-27
FGBKPADF_00011	10144.2920849877	-0.833386082196945	0.0769503425055196	1.09461012194528e-28	1.56604328998886e-27
FGBKPADF_00012	15698.0504330402	-0.783060266340983	0.132885063757512	2.2268840943572e-10	1.17355607259808e-09
FGBKPADF_00013	4105.75946092359	-0.832278647639514	0.134497217331965	2.99555564242383e-11	1.69349315419767e-10
FGBKPADF_00014	14757.5458795108	-0.313901720707319	0.102440725332452	0.00127776274211097	0.00299277408214288
FGBKPADF_00015	230.038531374243	1.05606732703288	0.174785697141645	6.37029185112856e-11	3.50631480639201e-10
FGBKPADF_00016	3776.79569518889	0.435552075660314	0.080328646787208	2.43549025672546e-08	1.0583166543205e-07
FGBKPADF_00017	5065.15535976975	0.379145799258888	0.061110602201769	2.91666323533436e-10	1.51888783201446e-09
FGBKPADF_00018	112.518475994937	-1.14484475416442	0.2424919792268	8.95551720198233e-08	3.6363437163377e-07
FGBKPADF_00019	292.678530909378	-2.50278921812702	0.19813265306376	9.01441187414292e-38	1.63872083748754e-36
FGBKPADF_00020	862.407028301334	-0.0296795552749645	0.0801101951338224	0.672116057227379	0.752428230167261
FGBKPADF_00021	2662.45815279695	-0.409719482285709	0.0743869867234223	1.68998037615879e-08	7.42504681897703e-08
FGBKPADF_00022	9903.49482605844	-0.500111639501488	0.0657269815149313	8.30248053425682e-15	6.41378759400776e-14
FGBKPADF_00023	11303.6570539827	0.128354916351576	0.0586153933363582	0.0179165133541591	0.0340706057689696
FGBKPADF_00024	21097.286058777	0.170929413892256	0.0575704828461689	0.00222512271830278	0.00499612540092572
FGBKPADF_00025	6226.9972583577	0.075195062035417	0.0721087192989782	0.223019765420545	0.31208592173786
FGBKPADF_00026	3450.76154968265	-3.22285987603533	0.0934365119675062	3.56680896139693e-262	2.019323416288e-259
FGBKPADF_00027	1298.14242404278	-1.94953385090217	0.126765149692687	7.98569405374102e-55	2.22868348837857e-53
FGBKPADF_00028	1136.43818664084	-1.80665663153232	0.116397146124439	8.15552458906642e-56	2.37649587841693e-54
FGBKPADF_00029	1485.82266045424	-1.4801197434372	0.0912396407012281	1.77613306899327e-60	5.8172027705953e-59
