	baseMean	log2FoldChange	lfcSE	pvalue	padj
FGBKPADF_00001	52605.0567820962	-0.305412313037276	0.0461669011751471	1.34329582678782e-11	1.06469627231202e-10
FGBKPADF_00002	44167.2608204198	-0.209131743957246	0.048192659047319	8.77337946712315e-06	3.58812206689464e-05
FGBKPADF_00003	2980.68037100898	-0.107897998283722	0.081352822240739	0.159046935858419	0.255908650753924
FGBKPADF_00004	21707.5237219873	-0.209422160602411	0.0507576772148619	2.26333257201523e-05	8.75936228798473e-05
FGBKPADF_00005	5377.55947189653	-0.206016246751269	0.0591761676516419	0.000309719984644942	0.00099145419963482
FGBKPADF_00006	21579.1602970582	-0.238432781691635	0.0502585548449624	1.10880224518319e-06	5.21255432699997e-06
FGBKPADF_00007	20787.8712152457	-0.3232585750372	0.0632706861636615	1.07416808391025e-07	5.68348213155719e-07
FGBKPADF_00008	4283.01148300481	0.161008189278195	0.0634328120908969	0.00829921474528851	0.019789282813224
FGBKPADF_00009	12620.644095348	0.0365222429687991	0.0695642740347947	0.583574940810376	0.70509374708278
FGBKPADF_00010	17980.6045342341	0.0443368011700588	0.0518664502490496	0.381002196338119	0.512454293836255
FGBKPADF_00011	10144.2920849877	-0.459502729170699	0.0765981153125505	3.88944819072027e-10	2.69473482164763e-09
FGBKPADF_00012	15698.0504330402	-0.439339082107409	0.131608839031552	0.000180712043662108	0.000599800526828252
FGBKPADF_00013	4105.75946092359	-0.402838961649254	0.131834768871308	0.000553142253227425	0.00170194312852506
FGBKPADF_00014	14757.5458795108	-0.272845147247693	0.103035837208651	0.00361044654618541	0.00942569147729431
FGBKPADF_00015	230.038531374243	0.752031992941831	0.215395810350648	4.88692873250423e-05	0.000179655830861913
FGBKPADF_00016	3776.79569518889	-0.0776887289578098	0.078941802263949	0.298071470734697	0.42278354993615
FGBKPADF_00017	5065.15535976975	-0.0139991914803924	0.0611278540706984	0.812800810705821	0.878889389584494
FGBKPADF_00018	112.518475994937	-0.0336091227892205	0.180720916528921	0.815400044171129	0.880498739795691
FGBKPADF_00019	292.678530909378	-0.333805906956939	0.169751431093626	0.0172000830170133	0.0380591451682991
FGBKPADF_00020	862.407028301334	-0.464855198538574	0.0916996574336984	7.73648814704244e-08	4.17707118892768e-07
FGBKPADF_00021	2662.45815279695	-0.436162521195782	0.0761038350070747	2.06937593354001e-09	1.32060174309486e-08
FGBKPADF_00022	9903.49482605844	-0.16002685066491	0.0648238751549916	0.0101301311905422	0.0236568708945896
FGBKPADF_00023	11303.6570539827	-0.120756362759476	0.0560318604846871	0.0263720853288642	0.0550645806945674
FGBKPADF_00024	21097.286058777	-0.13302940054396	0.056557782937457	0.0152783248312976	0.034285391453246
FGBKPADF_00025	6226.9972583577	-0.0776338189443755	0.070286836487388	0.248029179614868	0.36502512002151
FGBKPADF_00026	3450.76154968265	-0.530967208244415	0.084856275595415	6.9273870528545e-11	5.16038249820721e-10
FGBKPADF_00027	1298.14242404278	-0.856935318283466	0.116568653880532	2.45239963478986e-14	2.47930095731434e-13
FGBKPADF_00028	1136.43818664084	-0.589191471379482	0.108256962664128	8.66438051347028e-09	5.18842574872737e-08
FGBKPADF_00029	1485.82266045424	-0.551721917938315	0.0852006978594543	1.65182106195476e-11	1.29370886729777e-10
FGBKPADF_00030	426.949165564484	-0.334348813059716	0.123164396305749	0.00220608977567765	0.00601042849972369
FGBKPADF_00031	2397.59033480278	-0.151554960417848	0.087430731076014	0.0629781152295299	0.117064854903671
FGBKPADF_00032	2499.37437477595	0.186360878533521	0.0678249411508542	0.00404633542624413	0.0104534728123895
FGBKPADF_00033	54.9095002465477	-0.0987458265432252	0.245136575780851	0.568110757174551	0.691893955341962
FGBKPADF_00034	19.2721418584888	-0.00284397495535633	0.317740692409968	0.987992332067003	0.990491680238182
FGBKPADF_00035	43.4532177877969	-0.260238665320796	0.298049448740333	0.183675588985323	0.286239228922075
