	baseMean	log2FoldChange	lfcSE	pvalue	padj
FGBKPADF_00001	52605.0567820962	-1.28447636507299	0.0461896752374432	2.31826411689948e-171	2.96363893395891e-169
FGBKPADF_00002	44167.2608204198	-1.19460319284886	0.0486050069683949	1.99381726703791e-134	1.58029956585425e-132
FGBKPADF_00003	2980.68037100898	-1.10721628457641	0.0854185448131457	2.48989758255527e-39	3.03614280605124e-38
FGBKPADF_00004	21707.5237219873	-1.08378362028354	0.0512163441972646	2.96427474953634e-100	1.43261229663567e-98
FGBKPADF_00005	5377.55947189653	-1.10724532187043	0.0600107156781485	6.38836318268659e-77	1.97789713226461e-75
FGBKPADF_00006	21579.1602970582	-1.01664161685151	0.0505201975599711	7.93315643567129e-91	3.20807132189442e-89
FGBKPADF_00007	20787.8712152457	-0.789846365233948	0.0629848566578129	1.63153044010889e-36	1.77630635553614e-35
FGBKPADF_00008	4283.01148300481	-0.346349722082439	0.0643254234842866	6.09949132057289e-08	1.67514096350869e-07
FGBKPADF_00009	12620.644095348	-0.505979752640885	0.0721066448844251	1.54036799691013e-12	5.81933114561948e-12
FGBKPADF_00010	17980.6045342341	-0.533883291991222	0.0529148828926369	4.01115649894907e-24	2.73600915754478e-23
FGBKPADF_00011	10144.2920849877	-1.00802612969279	0.0758568190727117	4.79012755804134e-41	6.28585281871452e-40
FGBKPADF_00012	15698.0504330402	-1.20942816205897	0.130174015990906	1.33670145020199e-21	8.11232442136371e-21
FGBKPADF_00013	4105.75946092359	-1.25087411115434	0.13104895998987	1.03734921432127e-22	6.60934877227525e-22
FGBKPADF_00014	14757.5458795108	-0.948017962276714	0.104263627040504	2.10786237718658e-20	1.21240328023083e-19
FGBKPADF_00015	230.038531374243	1.56150080466928	0.206936105904155	1.52832497474322e-15	6.93786010871408e-15
FGBKPADF_00016	3776.79569518889	-0.0850846346577434	0.0815668846468077	0.292494706954941	0.358538980409042
FGBKPADF_00017	5065.15535976975	-0.072013542086728	0.0623489941372813	0.245579161998117	0.308276914475305
FGBKPADF_00018	112.518475994937	-0.448411848565705	0.212705414756269	0.0244340580846004	0.0375027777650161
FGBKPADF_00019	292.678530909378	-0.866417660019706	0.171088825553813	1.13636063416033e-07	3.06770925965761e-07
FGBKPADF_00020	862.407028301334	-0.813472567177409	0.089130331584226	2.37370168329437e-20	1.35939014030283e-19
FGBKPADF_00021	2662.45815279695	-0.742627438000961	0.0747115894567985	1.14979399373672e-23	7.72310779182816e-23
FGBKPADF_00022	9903.49482605844	-0.311943677418846	0.0657494014148964	1.81257674810809e-06	4.42045640169375e-06
FGBKPADF_00023	11303.6570539827	-0.289971018963733	0.0568069371270894	2.93541133070534e-07	7.68364273684628e-07
FGBKPADF_00024	21097.286058777	-0.254225116549167	0.0573647794586501	8.50661508905815e-06	1.94415891568267e-05
FGBKPADF_00025	6226.9972583577	-0.296792976719995	0.0723551552538347	3.59570252471789e-05	7.73968789245065e-05
FGBKPADF_00026	3450.76154968265	-1.26629466749562	0.0843462620789051	4.36081806218877e-52	7.96401934583138e-51
FGBKPADF_00027	1298.14242404278	-1.77288692075659	0.117690997598761	7.11879362679718e-53	1.34341805442844e-51
FGBKPADF_00028	1136.43818664084	-1.43327471771354	0.108009833895891	1.58461362516205e-41	2.10732342165007e-40
FGBKPADF_00029	1485.82266045424	-1.44457604796853	0.0851279590347928	6.16917579175912e-66	1.56720792709881e-64
FGBKPADF_00030	426.949165564484	-0.653843865470973	0.120413318986215	2.83420796592376e-08	7.9942819707871e-08
FGBKPADF_00031	2397.59033480278	-0.340414772512336	0.0897213703790018	0.000124316264676775	0.000253298384017511
FGBKPADF_00032	2499.37437477595	0.55646519884963	0.0673672881247304	9.08656362901847e-17	4.36485474688487e-16
FGBKPADF_00033	54.9095002465477	0.520880379019553	0.286280858171324	0.0405453507851222	0.0601802341428611
FGBKPADF_00034	19.2721418584888	-0.293159585713367	0.418288564434251	0.367033089812521	0.437064944389129
FGBKPADF_00035	43.4532177877969	-0.577561313586866	0.336656508373485	0.0436083683794388	0.0643170688082308
FGBKPADF_00036	1055.00455100878	0.462918433946077	0.126824328512308	0.000186880359285699	0.000374990817138847
FGBKPADF_00037	425.483844699243	0.176839237092899	0.132828903248242	0.172496574066054	0.224943706161162
FGBKPADF_00038	329.816205941656	0.172758804637149	0.131470202933985	0.178355539829942	0.231745247326577
FGBKPADF_00039	347.046749465012	-0.620035613124228	0.182469058719843	0.000355038287619477	0.000694480125289233
FGBKPADF_00040	64.6094972682009	0.234123106303685	0.263913774135316	0.327596298787967	0.39602583485488
FGBKPADF_00041	100.515879401132	0.170971156579211	0.246955560119182	0.45067266022404	0.521464453275291
FGBKPADF_00042	673.74992047559	0.454440911823797	0.135467708910601	0.000571491742388092	0.00109517493959575
FGBKPADF_00043	1191.237284773	0.477557775295109	0.0924885694889971	1.7128598666889e-07	4.58652949438387e-07
FGBKPADF_00044	81.6554980413255	-0.299938076234149	0.262852364498371	0.208125660693837	0.265722291665489
FGBKPADF_00045	80.4496388581598	-0.0755674237185368	0.261543753572715	0.750419049383019	0.793889667032809
FGBKPADF_00046	332.217800496872	-0.419199213807199	0.163881457760877	0.00784993839660389	0.013087633935945
FGBKPADF_00047	1824.06142711894	0.877633100394236	0.320899890657708	0.00151752061974963	0.00276375653311938
FGBKPADF_00048	694.665394765384	-0.509832272246335	0.108340213737369	1.68840173213532e-06	4.13543638099647e-06
FGBKPADF_00049	106.339346196891	0.146618099789088	0.236138878787426	0.501985315883562	0.570182805057769
FGBKPADF_00050	204.778060598865	-0.205296827603767	0.184077059900287	0.242290452901393	0.305018127334251
